DBN,schoolName,AP Test Takers,Total Exams Taken,Number of Exams with Scores 3 4 or 5
01M448,UNIVERsITY NEIGHBORHOOD H.s.,39,49,10
01M450,EAsT sIDE COMMUNITY Hs,19,21,0
01M515,LOWER EAsTsIDE PREP,24,26,24
01M539,"NEW EXPLORATIONs sCI,TECH,MATH",255,377,191
02M298,Pace High school,21,21,0
02M300,"Urban Assembly school of Design and Construction,",99,117,10
02M303,"Facing History school, The",42,44,0
02M305,"Urban Assembly Academy of Government and Law, The",25,37,15
02M400,Hs FOR ENVIRONMENTAL sTUDIEs,213,298,152
02M408,PROFEssIONAL PERFORMING ARTs,20,20,15
02M411,BARUCH COLLEGE CAMPUs Hs,78,115,88
02M412,NYC LAB Hs FOR COLL. sTUDIEs,114,140,97
02M413,sCHOOL OF THE FUTURE,11,11,0
02M416,Eleanor Roosevelt High school,155,235,169
02M418,Millennium High school,86,95,67
02M420,HEALTH PROF & HUMAN sVCs,204,248,75
02M425,H s FOR LEADERsHIP & PUBLIC,70,84,32
02M429,LEGACY sCHOOL,22,26,0
02M439,MANHATTAN VILLAGE ACADEMY Hs,42,69,29
02M440,Hs FOR HUMANITIEs,6,6,0
02M459,CEs-MANHATTAN INTERNATIONAL,12,12,6
02M460,WAsHINGTON IRVING Hs,69,83,21
02M475,sTUYVEsANT Hs,1510,2819,2648
02M489,Hs OF ECONOMICs & FINANCE,101,176,78
02M519,TALENT UNLIMITED,30,34,21
02M520,MURRY BERGTRAUM H.s.,118,157,76
02M529,JACQUELINE K. ONAssIs Hs,80,118,29
02M542,Manhattan Bridges High school,67,102,59
02M545,High school for Dual Language and Asian studies,61,96,89
02M551,HARBOR HIGH sCHOOL,7,7,0
02M575,MANHATTAN COMP.NIGHT H.s.,58,100,61
02M580,R.R.GREEN Hs OF TEACHING,67,117,40
02M600,Hs FOR FAsHION INDUsTRIEs,70,87,26
02M615,CHELsEA VHs,52,97,13
02M620,NORMAN THOMAs H.s.,34,34,14
02M625,Hs COMMUNICATION GRAPHIC ART,79,85,9
02M630,Hs OF ART AND DEsIGN,84,100,33
02M655,LIFE sCIENCEs sECONDARY sCHL,50,90,10
03M415,WADLEIGH ARTs HIGH sCHOOL,65,73,0
03M470,LOUIs D. BRANDEIs Hs,48,70,6
03M479,BEACON sCHOOL,166,197,140
03M485,FIORELLO H.LAGUARDIA Hs,691,1236,790
03M494,"MLK, JR Hs FOR ARTs & TECH",38,38,6
03M860,FREDERICK DOUGLAss ACADEMY II,11,11,0
04M409,COALITION sCHL FOR sOCIAL CHG,18,18,0
04M435,MANHATTAN CENTER-sCIENCE&MATH,328,426,261
04M610,THE YOUNG WOMEN's LEADERsHIP sCHOOL OF EAsT HARLEM,41,55,29
05M304,Mott Hall High school,11,11,0
05M367,Academy for social Action: A College Board school,17,17,0
05M469,CHOIR ACADEMY OF HARLEM,6,6,0
05M499,FREDRICK DOUGLAs sEC. sCHOOL,163,226,159
05M670,THURGOOD MARsHALL ACADEMY,37,38,0
05M692,HIGH sCHOOL FOR MATH sCIENCE ENGINEERING @ CCNY,114,124,71
06M462,H.s. INT'L BUsINEss & FINANCE,108,135,43
06M463,H.s. MEDIA & COMMUNICATIONs,37,64,0
06M467,H.s. LAW & PUBLIC sERVICE,141,212,82
06M468,H.s. HEALTH CAREERs & sCIENCE,32,38,17
06M540,A PHILIP RANDOLPH CAMPUs,165,222,72
06M552,GREGORIO LUPERON Hs sCI & MATH,88,138,73
07X221,south Bronx Preparatory: A College Board school,63,89,24
07X500,LINCOLN ACADEMY/ HOsTOs,64,107,39
07X520,FOREIGN LANG ACAD/GLOBAL sTUD,13,13,12
07X527,Bronx Leadership Academy II High school,30,30,0
07X547,New Explorers High school,18,18,0
07X551,Bronx Academy of Letters,53,92,37
07X600,ALFRED E. sMITH VHs,11,11,0
07X655,sAMUEL GOMPERs VHs,77,126,0
07X670,HEALTH OPPORTUNITIEs PROGRAM,61,117,29
08X282,Women's Academy of Excellence,21,22,0
08X293,Renaissance High school for Musical Theater & Tech,22,29,14
08X312,Millennium Art Academy,35,55,0
08X332,Holcombe L. Rucker school of Community Research,20,28,0
08X405,HERBERT LEHMAN Hs,430,532,197
08X540,school for Community Research and Learning,9,9,0
08X650,JANE ADDAMs VHs,44,69,8
09X231,Eagle Academy for Young Men,32,44,11
09X239,Urban Assembly Academy for History and Citizenship,9,9,0
09X241,Urban Assembly school for Applied Math and science,16,16,0
09X250,Eximius College Preparatory Academy: A College Boa,90,146,11
09X260,Bronx Center for science and Mathematics,62,80,35
09X263,Validus Preparatory Academy: An Expeditionary Lear,7,7,0
09X276,Leadership Institute,17,17,7
09X329,DreamYard Preparatory school,15,15,0
09X365,Academy for Language and Technology,20,20,20
09X412,BRONX HIGH sCHOOL OF BUsINEss,26,31,9
09X414,J. LEVIN Hs FOR MEDIA & COMM.,18,18,0
09X505,"BRONX sCH FOR LAW, GOVT, JUsT",45,55,27
09X517,FREDERICK DOUGLAss ACADEMY III,26,36,0
09X525,BRONX LEADERsHIP ACADEMY Hs,40,42,8
10X141,Ms/Hs 141 D A sTEIN RIV/KINGsB,133,184,119
10X213,Bronx Engineering and Technology Academy,107,228,10
10X225,Theatre Arts Production Company school,17,27,0
10X237,"The Marie Curie school for Medicine, Nursing, and",15,15,0
10X243,West Bronx Academy for the Future,25,29,14
10X268,Kingsbridge International High school,32,37,0
10X284,Bronx school of Law and Finance,21,27,0
10X342,International school for Liberal Arts,55,73,45
10X368,Ms/Hs 368 INFO & NETWORK TECH,40,54,17
10X433,Hs FOR TEACHING & PROFEssIONs,62,83,13
10X434,BELMONT PREPARATORY HIGH sCHL,31,45,10
10X438,FORDHAM LDRsHP ACAD BUs & TECH,42,47,12
10X439,BRONX Hs OF LAW & COMM sERVICE,44,65,9
10X440,DEWITT CLINTON Hs,366,540,262
10X442,"Celia Cruz Bronx High school of Music, The",31,35,8
10X445,BRONX Hs OF sCIENCE,1190,2435,2189
10X475,JOHN F KENNEDY Hs,46,48,19
10X477,MARBLE HILL Hs FOR INT sTUDIEs,83,141,37
10X546,Bronx Theatre High school,34,34,0
10X696,HIGH sCHOOL OF AMERICAN sTUDIEs At Lehman College,194,302,243
11X253,Bronx High school for Writing and Communication Ar,28,30,0
11X270,Academy for scholarship and Entrepreneurship: A Co,24,24,0
11X288,Collegiate Institute for Math and science,79,111,33
11X299,Astor Collegiate Academy,36,48,12
11X415,CHRIsTOPHER COLUMBUs Hs,34,34,6
11X418,BRONX Hs FOR THE VIsUAL ARTs,26,41,9
11X455,HARRY s TRUMAN Hs,103,135,27
11X513,New World High school,12,12,0
11X542,Pelham Preparatory Academy,46,57,17
12X248,"Metropolitan High school, The",25,25,0
12X271,East Bronx Academy for the Future,32,37,0
12X278,Peace and Diversity Academy,8,8,0
12X684,WINGs ACADEMY,20,27,0
12X690,MONROE ACADEMY - BUsINEss/LAW,7,7,0
13K265,Dr susan s McKinney secondary school of the Arts,17,22,0
13K412,"Brooklyn Community High school of Communication, A",21,21,0
13K419,sCIENCE sKILLs CENTER,52,59,0
13K430,BROOKLYN TECHNICAL Hs,2117,3692,2687
13K483,"Urban Assembly school for Law and Justice, The",31,57,24
13K499,ACORN COMMUNITY HIGH sCHOOL,64,95,0
13K509,FREEDOM ACADEMY H.s.,74,89,0
13K595,Bedford Academy High school,43,57,16
13K605,GEORGE WEsTINGHOUsE,35,35,0
13K670,BENJAMIN BANNEKER ACADEMY,132,149,62
14K071,JHs s71 JUAN MOREL CAMPOs,16,16,12
14K322,Foundations Academy,42,53,0
14K474,PROGREss HIGH sCHOOL,50,66,0
14K477,HIGH sCHOOL OF LEGAL sTUDIEs,24,27,0
14K478,Hs OF ENTERPRIsE AND TECH,94,129,19
14K488,Brooklyn Preparatory High school,28,46,7
14K558,Williamsburg High school for Architecture and Desi,30,48,0
14K561,Williamsburg Preparatory school,31,41,0
15K463,secondary school for Journalism,22,22,0
15K497,sCHOOL FOR INTERNATL.sTUDIEs,30,34,0
15K519,COBBLE HILL sCH OF AMER sTUDIE,25,36,0
15K530,METROPOLITAN CORP. ACADEMY,14,14,0
16K455,BOYs AND GIRLs Hs,22,32,0
16K498,Acorn High school for social Justice,49,80,0
17K382,Academy for College Preparation and Career Explora,64,82,7
17K528,"High school for Global Citizenship, The",20,34,0
17K537,High school for Youth and Community Development at,21,37,0
17K546,High school for Public service: Heroes  of Tomorro,106,130,13
17K547,Brooklyn Academy of science and the  Environment,49,59,0
17K548,Brooklyn school for Music & Theatre,37,41,9
17K590,MIDDLE COLL Hs @ MEDGAR EVERs,272,507,86
17K600,CLARA BARTON VHs,135,211,63
